ts,coin,funding_rate,funding_velocity,mark_price,open_interest
1717617600065,BTC,0.0000125,,0.0004059019,
1717621200083,BTC,0.0000125,,0.0003264984,
1717624800022,BTC,0.0000125,,-0.0000009285,
1717628400029,BTC,0.0000125,,0.000137502,
1717632000101,BTC,0.0000125,,0.0002837877,
1717635600156,BTC,0.0000125,,0.0000355427,
1717639200015,BTC,0.0000125,,0.0001153242,
1717642800117,BTC,0.0000125,,0.0004625909,
1717646400083,BTC,0.0000125,,0.0005353906,
1717650000114,BTC,0.0000125,,0.0005673223,
1717653600074,BTC,0.0000125,,0.0004991358,
1717657200025,BTC,0.0000125,,0.0003255309,
1717660800098,BTC,0.0000125,,0.0002636064,
1717664400037,BTC,0.0000125,,0.0003002789,
1717668000078,BTC,0.0000125,,0.0004980948,
1717671600011,BTC,0.0000126582,,0.0006012658,
1717675200054,BTC,0.0000177196,,0.0006417567,
1717678800102,BTC,0.0000178958,,0.0006431662,
1717682400023,BTC,0.0000125,,0.0003846663,
1717686000130,BTC,0.0000125,,0.000507192,
1717689600024,BTC,0.0000125,,0.0005512632,
1717693200013,BTC,0.0000125,,0.0003724001,
1717696800046,BTC,0.0000125,,0.0001170944,
1717700400122,BTC,0.0000125,,0.0001195601,
1717704000036,BTC,0.0000125,,0.0000983706,
1717707600003,BTC,0.0000125,,-0.0000146264,
1717711200107,BTC,0.0000133534,,0.0006068273,
1717714800006,BTC,0.0000137628,,0.0006101025,
1717718400093,BTC,0.0000125,,0.0004937354,
1717722000095,BTC,0.0000125,,0.0003948945,
1717725600039,BTC,0.0000125,,0.0005454121,
1717729200044,BTC,0.0000125,,0.0005968183,
1717732800067,BTC,0.0000125,,0.0004932163,
1717736400067,BTC,0.0000125,,0.0005881771,
1717740000098,BTC,0.000034681,,0.0007774477,
1717743600057,BTC,0.0000514998,,0.0009119988,
1717747200069,BTC,0.0000385441,,0.0008083525,
1717750800117,BTC,0.0000125,,0.0004442772,
1717754400158,BTC,0.0000125,,0.0005509629,
1717758000004,BTC,0.0000516539,,0.000913231,
1717761600038,BTC,0.0000476051,,0.0008808405,
1717765200099,BTC,0.0000125,,0.0005202748,
1717768800102,BTC,0.0000125,,0.0003568971,
1717772400048,BTC,0.0000125,,0.000241461,
1717776000104,BTC,0.0000125,,0.0002650543,
1717779600030,BTC,0.0000125,,0.0001834266,
1717783200124,BTC,0.0000125,,-0.0001159741,
1717786800076,BTC,0.0000812426,,0.0011499408,
1717790400137,BTC,0.0000733797,,0.0010870373,
1717794000028,BTC,0.0000966241,,0.0012729927,
1717797600016,BTC,0.0001116674,,0.0013933391,
1717801200043,BTC,0.0000804124,,0.001143299,
